index,month_branch,day_pillar,primary_trait,secondary_manifestation,keyword
422,未,乙丑,배려 있는 관계조율형,,배려 있는 관계조율형
423,未,丙寅,배려 있는 추진형,,배려 있는 추진형
424,未,丁卯,온화한 감정표현형,,온화한 감정표현형
425,未,戊辰,안정적인 운영형,,안정적인 운영형
426,未,己巳,포용적인 실무형,,포용적인 실무형
427,未,庚午,신중한 실행결단형,,신중한 실행결단형
428,未,辛未,균형 있는 가치관리형,,균형 있는 가치관리형
429,未,壬申,장기적인 정보전략형,,장기적인 정보전략형
430,未,癸酉,수용적인 관찰분석형,,수용적인 관찰분석형
431,未,甲戌,신중한 원칙개척형,,신중한 원칙개척형
432,未,乙亥,배려 있는 관계공감형,,배려 있는 관계공감형
433,未,丙子,배려 있는 표현준비형,,배려 있는 표현준비형
434,未,丁丑,온화한 감정관리형,,온화한 감정관리형
435,未,戊寅,안정적인 기반구축형,,안정적인 기반구축형
436,未,己卯,포용적인 관계관리형,,포용적인 관계관리형
437,未,庚辰,신중한 구조해결형,,신중한 구조해결형
438,未,辛巳,균형 있는 가치표현형,,균형 있는 가치표현형
439,未,壬午,장기적인 영향전략형,,장기적인 영향전략형
440,未,癸未,수용적인 의미정리형,,수용적인 의미정리형
441,未,甲申,신중한 기회판단형,,신중한 기회판단형
442,未,乙酉,배려 있는 관계판단형,,배려 있는 관계판단형
443,未,丙戌,배려 있는 책임표현형,,배려 있는 책임표현형
444,未,丁亥,온화한 감정이해형,,온화한 감정이해형
445,未,戊子,안정적인 현실설계형,,안정적인 현실설계형
446,未,己丑,포용적인 관리형,,포용적인 관리형
447,未,庚寅,신중한 실행추진형,,신중한 실행추진형
448,未,辛卯,균형 있는 표현기준형,,균형 있는 표현기준형
449,未,壬辰,장기적인 상황분석형,,장기적인 상황분석형
450,未,癸巳,수용적인 설득형,,수용적인 설득형
451,未,甲午,신중한 자기확장형,,신중한 자기확장형
452,未,乙未,배려 있는 관계지속형,,배려 있는 관계지속형
453,未,丙申,배려 있는 표현전략형,,배려 있는 표현전략형
454,未,丁酉,온화한 감정정리형,,온화한 감정정리형
455,未,戊戌,안정적인 책임관리형,,안정적인 책임관리형
456,未,己亥,포용적인 현실조율형,,포용적인 현실조율형
457,未,庚子,신중한 판단결단형,,신중한 판단결단형
458,未,辛丑,균형 있는 기준관리형,,균형 있는 기준관리형
459,未,壬寅,장기적인 사고확장형,,장기적인 사고확장형
460,未,癸卯,수용적인 관찰형,,수용적인 관찰형
461,未,甲辰,신중한 개척설계형,,신중한 개척설계형
462,未,乙巳,배려 있는 관계표현형,,배려 있는 관계표현형
463,未,丙午,배려 있는 주도표현형,,배려 있는 주도표현형
464,未,丁未,온화한 감정운영형,,온화한 감정운영형
465,未,戊申,안정적인 구조개선형,,안정적인 구조개선형
466,未,己酉,포용적인 실무정리형,,포용적인 실무정리형
467,未,庚戌,신중한 실행관리형,,신중한 실행관리형
468,未,辛亥,균형 있는 가치이해형,,균형 있는 가치이해형
469,未,壬子,장기적인 정보감각형,,장기적인 정보감각형
470,未,癸丑,수용적인 직관관리형,,수용적인 직관관리형
471,未,甲寅,신중한 주도실행형,,신중한 주도실행형
472,未,乙卯,배려 있는 관계확장형,,배려 있는 관계확장형
473,未,丙辰,배려 있는 표현설계형,,배려 있는 표현설계형
474,未,丁巳,온화한 집중표현형,,온화한 집중표현형
475,未,戊午,안정적인 운영주도형,,안정적인 운영주도형
476,未,己未,포용적인 안정조율형,,포용적인 안정조율형
477,未,庚申,신중한 문제해결형,,신중한 문제해결형
478,未,辛酉,균형 있는 가치판단형,,균형 있는 가치판단형
479,未,壬戌,장기적인 전략형,,장기적인 전략형
480,未,癸亥,수용적인 통찰형,,수용적인 통찰형
481,申,甲子,기회에 강한 자기주도형,,기회에 강한 자기주도형
482,申,乙丑,선택이 분명한 관계조율형,,선택이 분명한 관계조율형
483,申,丙寅,변화에 강한 추진형,,변화에 강한 추진형
484,申,丁卯,차분한 감정표현형,,차분한 감정표현형
485,申,戊辰,전략적인 운영형,,전략적인 운영형
486,申,己巳,정돈된 실무조율형,,정돈된 실무조율형
487,申,庚午,능숙한 실행결단형,,능숙한 실행결단형
488,申,辛未,확신 있는 가치관리형,,확신 있는 가치관리형
489,申,壬申,전략적인 정보탐색형,,전략적인 정보탐색형
490,申,癸酉,분석적인 관찰형,,분석적인 관찰형
491,申,甲戌,기회에 강한 원칙개척형,,기회에 강한 원칙개척형
492,申,乙亥,선택이 분명한 관계공감형,,선택이 분명한 관계공감형
493,申,丙子,변화에 강한 표현준비형,,변화에 강한 표현준비형
494,申,丁丑,차분한 감정관리형,,차분한 감정관리형
495,申,戊寅,전략적인 기반구축형,,전략적인 기반구축형
496,申,己卯,정돈된 관계관리형,,정돈된 관계관리형
497,申,庚辰,능숙한 구조해결형,,능숙한 구조해결형
498,申,辛巳,확신 있는 가치표현형,,확신 있는 가치표현형
499,申,壬午,전략적인 영향력형,,전략적인 영향력형
500,申,癸未,분석적인 의미정리형,,분석적인 의미정리형
501,申,甲申,기회에 강한 판단형,,기회에 강한 판단형
502,申,乙酉,선택이 분명한 관계판단형,,선택이 분명한 관계판단형
503,申,丙戌,변화에 강한 책임표현형,,변화에 강한 책임표현형
504,申,丁亥,차분한 감정이해형,,차분한 감정이해형
505,申,戊子,전략적인 현실설계형,,전략적인 현실설계형
506,申,己丑,정돈된 관리형,,정돈된 관리형
507,申,庚寅,능숙한 실행추진형,,능숙한 실행추진형
508,申,辛卯,확신 있는 표현기준형,,확신 있는 표현기준형
509,申,壬辰,전략적인 상황분석형,,전략적인 상황분석형
510,申,癸巳,분석적인 설득형,,분석적인 설득형
511,申,甲午,기회에 강한 자기확장형,,기회에 강한 자기확장형
512,申,乙未,선택이 분명한 관계지속형,,선택이 분명한 관계지속형
513,申,丙申,변화에 강한 표현전략형,,변화에 강한 표현전략형
514,申,丁酉,차분한 감정정리형,,차분한 감정정리형
515,申,戊戌,전략적인 책임관리형,,전략적인 책임관리형
516,申,己亥,정돈된 현실조율형,,정돈된 현실조율형
517,申,庚子,능숙한 판단결단형,,능숙한 판단결단형
518,申,辛丑,확신 있는 기준관리형,,확신 있는 기준관리형
519,申,壬寅,전략적인 사고확장형,,전략적인 사고확장형
520,申,癸卯,분석적인 세심관찰형,,분석적인 세심관찰형
521,申,甲辰,기회에 강한 개척설계형,,기회에 강한 개척설계형
522,申,乙巳,선택이 분명한 관계표현형,,선택이 분명한 관계표현형
523,申,丙午,변화에 강한 주도표현형,,변화에 강한 주도표현형
524,申,丁未,차분한 감정운영형,,차분한 감정운영형
525,申,戊申,전략적인 구조개선형,,전략적인 구조개선형
526,申,己酉,정돈된 실무관리형,,정돈된 실무관리형
527,申,庚戌,능숙한 실행관리형,,능숙한 실행관리형
528,申,辛亥,확신 있는 가치이해형,,확신 있는 가치이해형
529,申,壬子,전략적인 정보감각형,,전략적인 정보감각형
530,申,癸丑,분석적인 직관관리형,,분석적인 직관관리형
531,申,甲寅,기회에 강한 주도실행형,,기회에 강한 주도실행형
532,申,乙卯,선택이 분명한 관계확장형,,선택이 분명한 관계확장형
533,申,丙辰,변화에 강한 표현설계형,,변화에 강한 표현설계형
534,申,丁巳,차분한 집중표현형,,차분한 집중표현형
535,申,戊午,전략적인 운영주도형,,전략적인 운영주도형
536,申,己未,정돈된 안정조율형,,정돈된 안정조율형
537,申,庚申,능숙한 문제해결형,,능숙한 문제해결형
538,申,辛酉,확신 있는 가치판단형,,확신 있는 가치판단형
539,申,壬戌,전략적인 장기관리형,,전략적인 장기관리형
540,申,癸亥,분석적인 통찰형,,분석적인 통찰형
541,酉,甲子,기준이 분명한 자기주도형,,기준이 분명한 자기주도형
542,酉,乙丑,깔끔한 관계조율형,,깔끔한 관계조율형
543,酉,丙寅,절제된 추진형,,절제된 추진형
544,酉,丁卯,절제된 감정표현형,,절제된 감정표현형
545,酉,戊辰,완성도 높은 운영형,,완성도 높은 운영형
546,酉,己巳,효율적인 실무형,,효율적인 실무형
547,酉,庚午,정확한 실행결단형,,정확한 실행결단형
548,酉,辛未,안목 있는 가치관리형,,안목 있는 가치관리형
549,酉,壬申,치밀한 정보전략형,,치밀한 정보전략형
550,酉,癸酉,섬세한 관찰분석형,,섬세한 관찰분석형
551,酉,甲戌,기준이 분명한 개척형,,기준이 분명한 개척형
552,酉,乙亥,깔끔한 관계공감형,,깔끔한 관계공감형
553,酉,丙子,절제된 표현준비형,,절제된 표현준비형
554,酉,丁丑,절제된 감정관리형,,절제된 감정관리형
555,酉,戊寅,완성도 높은 기반구축형,,완성도 높은 기반구축형
556,酉,己卯,효율적인 관계관리형,,효율적인 관계관리형
557,酉,庚辰,정확한 구조해결형,,정확한 구조해결형
558,酉,辛巳,안목 있는 가치표현형,,안목 있는 가치표현형
559,酉,壬午,치밀한 영향전략형,,치밀한 영향전략형
560,酉,癸未,섬세한 의미정리형,,섬세한 의미정리형
561,酉,甲申,기준이 분명한 기회판단형,,기준이 분명한 기회판단형
562,酉,乙酉,깔끔한 관계판단형,,깔끔한 관계판단형
563,酉,丙戌,절제된 책임표현형,,절제된 책임표현형
564,酉,丁亥,절제된 감정이해형,,절제된 감정이해형
565,酉,戊子,완성도 높은 현실설계형,,완성도 높은 현실설계형
566,酉,己丑,효율적인 관리형,,효율적인 관리형
567,酉,庚寅,정확한 실행추진형,,정확한 실행추진형
568,酉,辛卯,안목 있는 표현기준형,,안목 있는 표현기준형
569,酉,壬辰,치밀한 상황분석형,,치밀한 상황분석형
570,酉,癸巳,섬세한 설득형,,섬세한 설득형
571,酉,甲午,기준이 분명한 자기확장형,,기준이 분명한 자기확장형
572,酉,乙未,깔끔한 관계지속형,,깔끔한 관계지속형
573,酉,丙申,절제된 표현전략형,,절제된 표현전략형
574,酉,丁酉,절제된 감정정리형,,절제된 감정정리형
575,酉,戊戌,완성도 높은 책임관리형,,완성도 높은 책임관리형
576,酉,己亥,효율적인 현실조율형,,효율적인 현실조율형
577,酉,庚子,정확한 판단결단형,,정확한 판단결단형
578,酉,辛丑,안목 있는 기준관리형,,안목 있는 기준관리형
579,酉,壬寅,치밀한 사고확장형,,치밀한 사고확장형
580,酉,癸卯,섬세한 관찰형,,섬세한 관찰형
581,酉,甲辰,기준이 분명한 개척설계형,,기준이 분명한 개척설계형
582,酉,乙巳,깔끔한 관계표현형,,깔끔한 관계표현형
583,酉,丙午,절제된 주도표현형,,절제된 주도표현형
584,酉,丁未,절제된 감정운영형,,절제된 감정운영형
585,酉,戊申,완성도 높은 구조개선형,,완성도 높은 구조개선형
586,酉,己酉,효율적인 실무정리형,,효율적인 실무정리형
587,酉,庚戌,정확한 실행관리형,,정확한 실행관리형
588,酉,辛亥,안목 있는 가치이해형,,안목 있는 가치이해형
589,酉,壬子,치밀한 정보감각형,,치밀한 정보감각형
590,酉,癸丑,섬세한 직관관리형,,섬세한 직관관리형
591,酉,甲寅,기준이 분명한 주도실행형,,기준이 분명한 주도실행형
592,酉,乙卯,깔끔한 관계확장형,,깔끔한 관계확장형
593,酉,丙辰,절제된 표현설계형,,절제된 표현설계형
594,酉,丁巳,절제된 집중표현형,,절제된 집중표현형
595,酉,戊午,완성도 높은 운영주도형,,완성도 높은 운영주도형
596,酉,己未,효율적인 안정조율형,,효율적인 안정조율형
597,酉,庚申,정확한 문제해결형,,정확한 문제해결형
598,酉,辛酉,안목 있는 가치판단형,,안목 있는 가치판단형
599,酉,壬戌,치밀한 장기전략형,,치밀한 장기전략형
600,酉,癸亥,섬세한 통찰형,,섬세한 통찰형
601,戌,甲子,신념 있는 자기주도형,,신념 있는 자기주도형
602,戌,乙丑,선을 지키는 관계조율형,,선을 지키는 관계조율형
603,戌,丙寅,책임감 있는 추진형,,책임감 있는 추진형
604,戌,丁卯,신중한 감정표현형,,신중한 감정표현형
605,戌,戊辰,원칙 있는 운영형,,원칙 있는 운영형
606,戌,己巳,책임감 있는 실무형,,책임감 있는 실무형
607,戌,庚午,원칙적인 실행결단형,,원칙적인 실행결단형
608,戌,辛未,원칙 있는 가치관리형,,원칙 있는 가치관리형
609,戌,壬申,신념 있는 정보전략형,,신념 있는 정보전략형
610,戌,癸酉,신중한 관찰분석형,,신중한 관찰분석형
611,戌,甲戌,신념 있는 원칙개척형,,신념 있는 원칙개척형
612,戌,乙亥,선을 지키는 관계공감형,,선을 지키는 관계공감형
613,戌,丙子,책임감 있는 표현준비형,,책임감 있는 표현준비형
614,戌,丁丑,신중한 감정관리형,,신중한 감정관리형
615,戌,戊寅,원칙 있는 기반구축형,,원칙 있는 기반구축형
616,戌,己卯,책임감 있는 관계관리형,,책임감 있는 관계관리형
617,戌,庚辰,원칙적인 구조해결형,,원칙적인 구조해결형
618,戌,辛巳,원칙 있는 가치표현형,,원칙 있는 가치표현형
619,戌,壬午,신념 있는 영향전략형,,신념 있는 영향전략형
620,戌,癸未,신중한 의미정리형,,신중한 의미정리형
621,戌,甲申,신념 있는 기회판단형,,신념 있는 기회판단형
622,戌,乙酉,선을 지키는 관계판단형,,선을 지키는 관계판단형
623,戌,丙戌,책임감 있는 표현형,,책임감 있는 표현형
624,戌,丁亥,신중한 감정이해형,,신중한 감정이해형
625,戌,戊子,원칙 있는 현실설계형,,원칙 있는 현실설계형
626,戌,己丑,책임감 있는 관리형,,책임감 있는 관리형
627,戌,庚寅,원칙적인 실행추진형,,원칙적인 실행추진형
628,戌,辛卯,원칙 있는 표현기준형,,원칙 있는 표현기준형
629,戌,壬辰,신념 있는 상황분석형,,신념 있는 상황분석형
630,戌,癸巳,신중한 설득형,,신중한 설득형
631,戌,甲午,신념 있는 자기확장형,,신념 있는 자기확장형
632,戌,乙未,선을 지키는 관계지속형,,선을 지키는 관계지속형
633,戌,丙申,책임감 있는 표현전략형,,책임감 있는 표현전략형
634,戌,丁酉,신중한 감정정리형,,신중한 감정정리형
635,戌,戊戌,원칙 있는 책임관리형,,원칙 있는 책임관리형
636,戌,己亥,책임감 있는 현실조율형,,책임감 있는 현실조율형
637,戌,庚子,원칙적인 판단결단형,,원칙적인 판단결단형
638,戌,辛丑,원칙 있는 기준관리형,,원칙 있는 기준관리형
639,戌,壬寅,신념 있는 사고확장형,,신념 있는 사고확장형
640,戌,癸卯,신중한 관찰형,,신중한 관찰형
641,戌,甲辰,신념 있는 개척설계형,,신념 있는 개척설계형
642,戌,乙巳,선을 지키는 관계표현형,,선을 지키는 관계표현형
643,戌,丙午,책임감 있는 주도표현형,,책임감 있는 주도표현형
644,戌,丁未,신중한 감정운영형,,신중한 감정운영형
645,戌,戊申,원칙 있는 구조개선형,,원칙 있는 구조개선형
646,戌,己酉,책임감 있는 실무정리형,,책임감 있는 실무정리형
647,戌,庚戌,원칙적인 실행형,,원칙적인 실행형
648,戌,辛亥,원칙 있는 가치이해형,,원칙 있는 가치이해형
649,戌,壬子,신념 있는 정보감각형,,신념 있는 정보감각형
650,戌,癸丑,신중한 직관관리형,,신중한 직관관리형
651,戌,甲寅,신념 있는 주도실행형,,신념 있는 주도실행형
652,戌,乙卯,선을 지키는 관계확장형,,선을 지키는 관계확장형
653,戌,丙辰,책임감 있는 표현설계형,,책임감 있는 표현설계형
654,戌,丁巳,신중한 집중표현형,,신중한 집중표현형
655,戌,戊午,원칙 있는 운영주도형,,원칙 있는 운영주도형
656,戌,己未,책임감 있는 안정조율형,,책임감 있는 안정조율형
657,戌,庚申,원칙적인 문제해결형,,원칙적인 문제해결형
658,戌,辛酉,원칙 있는 가치판단형,,원칙 있는 가치판단형
659,戌,壬戌,신념 있는 장기전략형,,신념 있는 장기전략형
660,戌,癸亥,신중한 통찰형,,신중한 통찰형
661,亥,甲子,직관적인 자기주도형,,직관적인 자기주도형
662,亥,乙丑,깊이 있는 관계조율형,,깊이 있는 관계조율형
663,亥,丙寅,절제된 추진형,,절제된 추진형
664,亥,丁卯,깊이 있는 감정표현형,,깊이 있는 감정표현형
665,亥,戊辰,유연한 운영형,,유연한 운영형
666,亥,己巳,포용적인 실무형,,포용적인 실무형
667,亥,庚午,차분한 실행결단형,,차분한 실행결단형
668,亥,辛未,신중한 가치관리형,,신중한 가치관리형
669,亥,壬申,깊이 있는 정보전략형,,깊이 있는 정보전략형
670,亥,癸酉,직관적인 관찰분석형,,직관적인 관찰분석형
671,亥,甲戌,직관적인 원칙개척형,,직관적인 원칙개척형
672,亥,乙亥,깊이 있는 관계공감형,,깊이 있는 관계공감형
673,亥,丙子,절제된 표현준비형,,절제된 표현준비형
674,亥,丁丑,깊이 있는 감정관리형,,깊이 있는 감정관리형
675,亥,戊寅,유연한 기반구축형,,유연한 기반구축형
676,亥,己卯,포용적인 관계관리형,,포용적인 관계관리형
677,亥,庚辰,차분한 구조해결형,,차분한 구조해결형
678,亥,辛巳,신중한 가치표현형,,신중한 가치표현형
679,亥,壬午,깊이 있는 영향전략형,,깊이 있는 영향전략형
680,亥,癸未,직관적인 의미정리형,,직관적인 의미정리형
681,亥,甲申,직관적인 기회판단형,,직관적인 기회판단형
682,亥,乙酉,깊이 있는 관계판단형,,깊이 있는 관계판단형
683,亥,丙戌,절제된 책임표현형,,절제된 책임표현형
684,亥,丁亥,깊이 있는 감정이해형,,깊이 있는 감정이해형
685,亥,戊子,유연한 현실설계형,,유연한 현실설계형
686,亥,己丑,포용적인 관리형,,포용적인 관리형
687,亥,庚寅,차분한 실행추진형,,차분한 실행추진형
688,亥,辛卯,신중한 표현기준형,,신중한 표현기준형
689,亥,壬辰,깊이 있는 상황분석형,,깊이 있는 상황분석형
690,亥,癸巳,직관적인 설득형,,직관적인 설득형
691,亥,甲午,직관적인 자기확장형,,직관적인 자기확장형
692,亥,乙未,깊이 있는 관계지속형,,깊이 있는 관계지속형
693,亥,丙申,절제된 표현전략형,,절제된 표현전략형
694,亥,丁酉,깊이 있는 감정정리형,,깊이 있는 감정정리형
695,亥,戊戌,유연한 책임관리형,,유연한 책임관리형
696,亥,己亥,포용적인 현실조율형,,포용적인 현실조율형
697,亥,庚子,차분한 판단결단형,,차분한 판단결단형
698,亥,辛丑,신중한 기준관리형,,신중한 기준관리형
699,亥,壬寅,깊이 있는 사고확장형,,깊이 있는 사고확장형
700,亥,癸卯,직관적인 관찰형,,직관적인 관찰형
701,亥,甲辰,직관적인 개척설계형,,직관적인 개척설계형
702,亥,乙巳,깊이 있는 관계표현형,,깊이 있는 관계표현형
703,亥,丙午,절제된 주도표현형,,절제된 주도표현형
704,亥,丁未,깊이 있는 감정운영형,,깊이 있는 감정운영형
705,亥,戊申,유연한 구조개선형,,유연한 구조개선형
706,亥,己酉,포용적인 실무정리형,,포용적인 실무정리형
707,亥,庚戌,차분한 실행관리형,,차분한 실행관리형
708,亥,辛亥,신중한 가치이해형,,신중한 가치이해형
709,亥,壬子,깊이 있는 정보감각형,,깊이 있는 정보감각형
710,亥,癸丑,직관적인 판단관리형,,직관적인 판단관리형
711,亥,甲寅,직관적인 주도실행형,,직관적인 주도실행형
712,亥,乙卯,깊이 있는 관계확장형,,깊이 있는 관계확장형
713,亥,丙辰,절제된 표현설계형,,절제된 표현설계형
714,亥,丁巳,깊이 있는 집중표현형,,깊이 있는 집중표현형
715,亥,戊午,유연한 운영주도형,,유연한 운영주도형
716,亥,己未,포용적인 안정조율형,,포용적인 안정조율형
717,亥,庚申,차분한 문제해결형,,차분한 문제해결형
718,亥,辛酉,신중한 가치판단형,,신중한 가치판단형
719,亥,壬戌,깊이 있는 장기전략형,,깊이 있는 장기전략형
720,亥,癸亥,직관이 강한 통찰형,,직관이 강한 통찰형
